,animal,learning phase,hit rate,false alarm rate,go error rate,go rate
0,BS_40,pre early,57.2462864620893,50.33763894671102,52.56758384371034,53.91370519445434
1,BS_40,pre late,70.4407531800953,50.51058502611706,62.68310489903327,60.72979591579365
2,BS_40,pre expert,50.0,0.0,0.0,28.30188679245283
3,BS_40,post early,72.59562054571033,78.59560170024585,72.90521402817883,75.52301554767706
4,BS_40,post late,84.75395027174315,77.20457703216324,82.86130081574551,81.09124954329558
5,BS_40,post expert,65.50355774493705,23.18771763216208,60.384748662906404,45.19104084321475
6,BS_41,pre early,84.74562798092211,76.49306892568347,82.70089285714286,80.70967741935485
7,BS_41,pre late,,,,
8,BS_41,pre expert,99.05660377358491,56.37268683385189,97.87234042553193,78.20359676621018
9,BS_41,post early,32.84313725490196,61.23595505617978,44.3089430894309,46.07329842931937
10,BS_41,post late,84.73335269255654,83.28574538788962,84.03739901036019,84.03108493324436
11,BS_41,post expert,98.01980198019801,48.80952380952382,85.0742063211063,75.67567567567568
12,BS_42,pre early,79.65686274509804,76.03857981548785,78.26510721247564,77.88333333333334
13,BS_42,pre late,86.39355525021055,55.02034941433393,77.62825904121111,71.15875805506737
14,BS_42,pre expert,72.16368537123253,22.8104051296998,41.937106918238996,48.583333333333336
15,BS_42,post early,90.26607310081944,81.58379998609449,88.23979089011871,86.06161417322835
16,BS_42,post late,93.02155295915445,81.63818111914998,91.47185307336632,87.47222222222223
17,BS_42,post expert,91.00245212722147,43.71500624703489,78.2902930866253,67.93358191735244
18,BS_49,pre early,38.20259995598447,34.85325376782356,35.1712424331756,36.59687948103467
19,BS_49,pre late,63.40189851060686,50.96363828094293,55.20809469263078,57.558203972714864
20,BS_49,pre expert,79.31893687707641,14.749587231700604,40.71969696969697,49.21568627450981
21,BS_49,post early,,,,
22,BS_49,post late,82.3258998886239,87.0007274375501,83.08652355307213,84.51791044776118
23,BS_49,post expert,51.61290322580644,3.3333333333333335,47.26525100918959,27.86885245901639
24,BS_50,pre early,69.78620024630962,67.01226584305877,66.93857339438496,68.44826457957974
25,BS_50,pre late,83.11595620661907,72.51189225472463,78.9033805560064,78.15034314348694
26,BS_50,pre expert,90.87643678160919,43.317307692307686,80.50271739130434,68.21320861925784
27,BS_50,post early,,,,
28,BS_50,post late,,,,
29,BS_50,post expert,,,74.84333010365278,
30,BS_51,pre early,75.96600722258488,69.39830499632959,72.30406549025022,72.81289624107968
31,BS_51,pre late,,,,
32,BS_51,pre expert,100.0,43.23979591836735,100.0,74.2063492063492
33,BS_51,post early,77.10567661210752,79.22948216477631,76.52742238981092,78.12842348297261
34,BS_51,post late,83.92197233660649,71.84620836286321,79.74385638443435,78.235771557873
35,BS_51,post expert,87.28910676768318,36.75019894544033,76.18546586589258,62.652669910734424
36,BS_56,pre early,56.44004144004144,55.12269403855164,53.99269355544319,55.798948217035694
37,BS_56,pre late,59.97552019583842,27.333333333333332,40.19607843137255,45.29062760730509
38,BS_56,pre expert,99.50495049504951,46.938775510204074,98.64864864864865,73.8851399856425
39,BS_56,post early,77.04908066410268,77.58414280151479,76.14666948708008,77.3098061738824
40,BS_56,post late,,,,
41,BS_56,post expert,85.9170800506361,34.2953634442595,67.40781778529627,60.910168409914185
42,BS_59,pre early,75.36460649177411,69.9782507379214,72.23214285714286,72.74703557312255
43,BS_59,pre late,46.2962962962963,6.521739130434782,9.375,28.000000000000004
44,BS_59,pre expert,98.41269841269842,45.749309170361805,96.7032967032967,72.15109314165917
45,BS_59,post early,84.47461629279812,87.74514819741465,84.32902409163538,86.0318039624609
46,BS_59,post late,96.47280308688077,79.52104810996563,94.44177350427351,88.33333333333333
47,BS_59,post expert,97.19633307868601,45.35517873650692,87.0431955052731,71.6067995185799
48,BS_67,pre early,94.51103236199648,91.28741471188805,94.06880738773445,92.94952482054393
49,BS_67,pre late,,,,
50,BS_67,pre expert,93.08030803080308,38.54992319508449,83.30290119699737,66.79053954827151
51,BS_67,post early,61.65852396389815,80.00280933401227,66.04970788238674,70.49999999999999
52,BS_67,post late,94.79271344277835,93.01078538774232,94.38789293212585,93.9319958101684
53,BS_67,post expert,88.12859054064688,25.189325640100975,80.75818960170527,57.805042158161434
54,BS_70,pre early,96.058999598331,96.55387740678306,95.88540304617085,96.29759789963164
55,BS_70,pre late,96.7032967032967,67.07317073170732,94.82758620689656,82.65895953757226
56,BS_70,pre expert,95.13204572329524,17.397186147186147,75.0,59.39359267734554
57,BS_70,post early,71.40501819284415,77.92740046838406,71.95940959409594,74.55732277724908
58,BS_70,post late,76.96240114982298,64.85894502227359,73.2670397294374,71.06695642681103
59,BS_70,post expert,98.56115107913668,53.333333333333336,81.74924806516452,77.60617760617761
60,BS_72,pre early,85.09248815700428,83.22439526505404,84.23469454597858,84.18862815884476
61,BS_72,pre late,,,,
62,BS_72,pre expert,98.36547893634507,38.465287206686774,95.36324786324786,69.62153526841054
63,BS_72,post early,64.70588235294117,72.3404255319149,65.38461538461539,68.36734693877551
64,BS_72,post late,60.174794729011204,47.858764698963164,52.555944385788514,54.29626529109117
65,BS_72,post expert,94.26229508196722,35.72510822510823,67.88372604626872,66.57787679194111
66,BS_87,pre early,57.14285714285714,54.54545454545454,50.0,56.00000000000001
67,BS_87,pre late,96.55502977890184,86.1851108475504,95.9106334841629,91.51724137931035
68,BS_87,pre expert,86.82497589199613,22.414234511008704,62.15415019762846,55.12319245329859
69,BS_87,post early,73.2994892342447,78.67996756522469,73.74245542856507,75.89837746767817
70,BS_87,post late,97.39636050393023,91.21264297134424,97.03057133311059,94.40708554612962
71,BS_87,post expert,97.36842105263156,47.5609756097561,81.5006848819884,74.21032357473035
72,BS_108,pre early,88.51601392441755,85.84227620718734,87.51367666478023,87.23262862472762
73,BS_108,pre late,98.53658536585367,81.53846153846153,98.14814814814815,90.25
74,BS_108,pre expert,99.21875,43.48484848484849,98.14814814814815,72.5250278086763
75,BS_108,post early,71.27499301979276,80.50672841916497,72.32174362334912,75.7273513780744
76,BS_108,post late,63.435194819503046,50.63087211744065,57.59423275634331,57.33202507251937
77,BS_108,post expert,89.28571428571428,27.459935897435894,75.21109033865974,59.01170600652466
78,DS_15,pre early,75.2120680396754,71.86109977434306,72.64352132692856,73.61013033648862
79,DS_15,pre late,94.82270931443736,77.3682723371022,93.36419321020492,86.38071893935943
80,DS_15,pre expert,93.16743383199078,48.244725738396625,84.08564814814815,71.51217046426628
81,DS_15,post early,74.76411761995496,75.51015875722176,73.17590365727261,75.1010421081529
82,DS_15,post late,90.6451612903226,76.20689655172413,88.4,83.66666666666667
83,DS_15,post expert,85.77669054849397,41.917592094130775,75.36853676031224,64.71694710793926
84,DS_19,pre early,86.23029257196642,86.80102321355999,85.26018880957864,86.50944924406048
85,DS_19,pre late,99.61538461538463,97.5,99.57446808510639,98.59999999999998
86,DS_19,pre expert,95.22127144362156,53.02806712169113,90.87516354723809,73.45144432897403
87,DS_19,post early,58.690209185410644,57.089408093019564,55.94475622822843,57.90487592612816
88,DS_19,post late,82.71604938271605,61.63793103448276,77.29729729729729,72.42105263157896
89,DS_19,post expert,96.98376385558093,38.67738102211633,80.64323812697498,74.8353015502567
